crop,farm_area,soil_type,irrigation,season,region,rainfall,temperature,soil_ph,soil_moisture,seed_cost,fertilizer_cost,pesticide_cost,labour_cost,irrigation_cost,machinery_cost,other_cost,previous_yield,farming_experience,yield_per_acre,expected_market_price,total_cost,total_yield,revenue,profit,profit_per_acre
Rice,14.1,Clay,No,Rabi,East,497.6,20.5,6.3,26.2,1526.41,4289.07,2033.75,3726.64,684.38,1424.67,1263.54,18.22,7,12.41,2229.86,210773.286,174.981,390183.13266,179409.84666,12724.1026
Potato,15.68,Red,No,Kharif,North-East,436.6,20.7,5.76,35.0,1174.49,3931.19,2364.49,4397.45,79.92,1505.31,1195.18,70.0,10,60.22,1236.19,229681.11039999998,944.2496,1167271.9130240001,937590.8026240001,59795.33180000001
Sugarcane,6.12,Clay,Yes,Rabi,Central,1892.1,28.1,7.04,45.8,2311.85,3052.79,1662.43,5845.45,2067.08,2580.97,495.14,276.85,9,339.58,382.8,110256.1452,2078.2296,795546.2908800001,685290.1456800001,111975.51400000001
Tomato,1.1,Laterite,Yes,Kharif,West,446.0,27.3,6.17,29.7,1776.19,3200.92,1879.27,5063.03,2345.33,2274.07,801.42,58.78,1,82.0,1174.41,19074.253,90.2,105931.782,86857.52900000001,78961.39
Sugarcane,10.27,Clay,Yes,Zaid,East,1716.3,29.2,7.03,43.8,1970.92,2801.93,1999.89,3685.07,2310.92,2779.54,893.12,267.87,5,319.74,358.44,168853.0753,3283.7298,1177020.109512,1008167.0342120001,98166.21560000001
Potato,9.39,Black,No,Kharif,North,189.1,20.2,5.67,22.9,1508.74,4621.25,1680.32,3578.85,589.64,2132.0,1407.76,69.89,0,46.7,1179.95,145719.2784,438.51300000000003,517423.41435000004,371704.13595,39585.105
Potato,18.54,Alluvial,Yes,Kharif,West,429.8,11.1,5.94,42.3,2298.69,5539.7,2007.2,3609.42,1433.98,2160.63,756.12,64.84,0,69.75,1201.96,330118.41959999996,1293.165,1554332.6034,1224214.1838,66030.97
Maize,3.23,Alluvial,No,Rabi,Central,470.4,15.0,5.56,29.4,1026.02,2824.42,1437.39,6415.62,89.31,2503.09,729.12,24.16,18,15.96,2285.25,48530.6531,51.5508,117806.4657,69275.8126,21447.620000000003
Tomato,3.71,Laterite,No,Zaid,South,447.6,16.9,5.41,32.1,2022.4,3653.57,1594.54,5495.66,714.38,2921.45,1054.97,85.43,17,57.9,1553.27,64765.358700000004,214.809,333656.37543,268891.01673000003,72477.36300000001
Rice,4.0,Alluvial,Yes,Kharif,Central,1726.1,21.5,5.48,52.7,2062.99,3563.41,2121.97,2654.85,2475.64,1494.06,634.36,17.41,5,18.84,1896.75,60029.119999999995,75.36,142939.08,82909.95999999999,20727.489999999998
Rice,2.91,Clay,Yes,Kharif,Central,1375.9,24.6,5.94,57.0,1410.46,3669.75,1888.29,3524.05,2545.24,2136.94,1755.24,21.42,11,24.06,2133.5,49266.212700000004,70.0146,149376.1491,100109.9364,34402.04
Potato,0.85,Clay,No,Rabi,East,717.1,14.4,5.04,5.0,1462.29,2269.59,1066.48,6416.32,0.0,1341.93,1551.07,65.01,7,47.4,993.92,11991.528,40.29,40045.036799999994,28053.508799999996,33004.128
Cotton,6.55,Sandy,No,Rabi,North,633.8,31.9,7.43,25.5,1592.87,3111.27,2035.77,5411.44,577.71,2211.05,1015.95,5.03,7,5.74,7281.13,104512.19299999998,37.597,273748.64461,169236.45161000005,25837.62620000001
Tomato,5.36,Alluvial,Yes,Rabi,South,904.0,24.9,5.77,31.7,1870.98,3818.09,1244.78,4075.63,2631.86,2031.48,912.35,58.46,15,72.66,1238.29,88896.5112,389.4576,482261.451504,393364.940304,73388.98139999999
Maize,8.01,Laterite,Yes,Zaid,North-East,797.7,26.8,5.67,23.9,1368.59,3457.07,1273.55,4198.99,3150.02,2349.59,1519.69,15.02,9,25.86,1875.07,138713.175,207.1386,388399.374702,249686.199702,31171.810200000004
Groundnut,10.89,Clay,No,Rabi,West,615.0,22.5,6.99,15.9,1800.35,4774.45,2165.39,3085.16,466.52,1296.8,844.52,11.39,12,9.98,6320.06,157177.4391,108.68220000000001,686878.0249320001,529700.5858320001,48641.00880000001
